                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.98463,                0.94996,                 1.1745,                0.84695,                 0.6934,                0.78115,                0.56337,                 1.1254,                0.83981,                 1.2606,              0.0051688,              0.0051688,              0.0051688
                    125,                0.99924,                0.95623,                 1.1806,                0.84434,                0.69318,                0.78122,                0.56387,                 1.1257,                0.83963,                 1.2614,              0.0051292,              0.0051292,              0.0051292
                    126,                0.98918,                0.95431,                  1.173,                0.84198,                0.69555,                0.78091,                0.56359,                 1.1259,                0.83819,                 1.2617,              0.0050896,              0.0050896,              0.0050896
                    127,                0.99619,                0.95096,                 1.1748,                0.84532,                0.69568,                0.78111,                0.56323,                 1.1268,                 0.8367,                 1.2621,                0.00505,                0.00505,                0.00505
                    128,                0.99133,                0.95192,                  1.177,                 0.8361,                0.69778,                0.78129,                0.56424,                 1.1271,                0.83543,                 1.2629,              0.0050104,              0.0050104,              0.0050104
                    129,                0.99076,                0.93209,                 1.1693,                0.83968,                0.69494,                0.78116,                0.56309,                 1.1268,                0.83609,                 1.2626,              0.0049708,              0.0049708,              0.0049708
                    130,                0.98377,                0.93896,                 1.1673,                0.83235,                0.69535,                0.78089,                0.56398,                 1.1294,                0.83472,                 1.2647,              0.0049312,              0.0049312,              0.0049312
                    131,                 0.9855,                0.93492,                 1.1696,                 0.8345,                 0.6946,                0.78099,                0.56312,                 1.1301,                0.83474,                 1.2654,              0.0048916,              0.0048916,              0.0048916
                    132,                0.97949,                0.92487,                 1.1667,                0.84285,                0.69092,                0.78104,                0.56329,                 1.1293,                0.83322,                 1.2649,               0.004852,               0.004852,               0.004852
                    133,                0.99238,                0.92649,                 1.1703,                0.84731,                0.68874,                0.78212,                0.56365,                 1.1295,                0.83154,                 1.2646,              0.0048124,              0.0048124,              0.0048124
                    134,                0.97901,                0.91479,                 1.1665,                 0.8449,                0.69308,                0.78372,                0.56571,                 1.1294,                  0.832,                 1.2645,              0.0047728,              0.0047728,              0.0047728
                    135,                0.97497,                0.92838,                 1.1676,                0.84124,                0.69744,                0.78488,                0.56557,                 1.1299,                0.83102,                 1.2652,              0.0047332,              0.0047332,              0.0047332
                    136,                0.97595,                0.91842,                 1.1627,                0.84145,                0.69527,                0.78394,                0.56643,                 1.1298,                0.83033,                 1.2648,              0.0046936,              0.0046936,              0.0046936
                    137,                0.98207,                0.92521,                 1.1654,                0.85197,                0.69168,                0.78326,                0.56607,                 1.1302,                0.82889,                 1.2655,               0.004654,               0.004654,               0.004654
                    138,                 0.9704,                0.91583,                 1.1585,                0.84638,                0.69503,                0.78363,                0.56607,                 1.1308,                0.82909,                 1.2669,              0.0046144,              0.0046144,              0.0046144
                    139,                0.96037,                0.91445,                 1.1564,                0.85156,                0.69263,                0.78387,                0.56552,                  1.131,                0.82937,                 1.2671,              0.0045748,              0.0045748,              0.0045748
                    140,                0.97212,                0.91262,                 1.1618,                0.84896,                 0.6946,                0.78437,                0.56603,                   1.13,                0.82873,                 1.2664,              0.0045352,              0.0045352,              0.0045352
                    141,                0.95812,                0.90254,                  1.151,                0.85168,                0.69478,                0.78484,                 0.5664,                 1.1289,                0.82641,                 1.2657,              0.0044956,              0.0044956,              0.0044956
                    142,                0.96738,                0.90853,                 1.1595,                0.85248,                0.69723,                0.78489,                0.56699,                 1.1284,                 0.8271,                 1.2655,               0.004456,               0.004456,               0.004456
                    143,                0.96688,                0.90953,                 1.1626,                0.85302,                0.69593,                 0.7849,                 0.5672,                 1.1276,                0.82779,                 1.2651,              0.0044164,              0.0044164,              0.0044164
                    144,                0.96787,                0.90591,                 1.1537,                0.85454,                0.69798,                0.78598,                0.56688,                 1.1274,                0.82774,                 1.2652,              0.0043768,              0.0043768,              0.0043768
                    145,                0.96548,                0.89924,                 1.1561,                0.84951,                0.69969,                0.78634,                  0.567,                 1.1279,                0.82727,                 1.2657,              0.0043372,              0.0043372,              0.0043372
                    146,                0.96044,                0.89811,                 1.1532,                0.84854,                0.70041,                0.78593,                0.56666,                 1.1281,                 0.8282,                 1.2663,              0.0042976,              0.0042976,              0.0042976
                    147,                0.96477,                0.89208,                 1.1558,                0.84715,                 0.7022,                0.78619,                0.56655,                 1.1274,                0.82695,                 1.2657,               0.004258,               0.004258,               0.004258
